no;tanggal;konsumsi(kwh)
1;30/01/2018;23543455
2;28/02/2018;21698806
3;30/03/2018;24374770
4;30/04/2018;24071263
5;30/05/2018;25530256
6;30/06/2018;25671669
7;30/07/2018;24047081
8;30/08/2018;23791292
9;30/09/2018;23710568
10;30/10/2018;25483752
11;30/11/2018;24998331
12;30/12/2018;25633580
13;30/01/2019;25584991
14;28/02/2019;23803152
15;30/03/2019;26239587
16;30/04/2019;26455393
17;30/05/2019;28291635
18;30/06/2019;26746544
19;30/07/2019;25704994
20;30/08/2019;25327200
21;30/09/2019;25138199
22;30/10/2019;27008303
23;30/11/2019;27241549
24;30/12/2019;28655206
25;30/01/2020;28711421
26;28/02/2020;26503323
27;30/03/2020;28069624
28;30/04/2020;30812273
29;30/05/2020;31320486
30;30/06/2020;30157299
31;30/07/2020;30456544
32;30/08/2020;29787339
33;30/09/2020;29942681
34;30/10/2020;30499651
35;30/11/2020;30584938
36;30/12/2020;30960515
37;30/01/2021;35835450
38;28/02/2021;28359105
39;30/03/2021;31354899
40;30/04/2021;28743110
41;30/05/2021;31195699
42;30/06/2021;30134630
43;30/07/2021;29644145
44;30/08/2021;30197491
45;30/09/2021;29842653
46;30/10/2021;30861898
47;30/11/2021;30949802
48;30/12/2021;31786711
49;30/01/2022;31837266
50;28/02/2022;28257153
51;30/03/2022;31021435
52;30/04/2022;31990770
53;30/05/2022;34375823
54;30/06/2022;31963897
55;30/07/2022;32321325
56;30/08/2022;32353280
57;30/09/2022;32205685
58;30/10/2022;32227659
59;30/11/2022;31628831
60;30/12/2022;33068660
61;30/01/2023;33518691
62;28/02/2023;30260397
63;30/03/2023;34238166
